# Next line contains the total soma count (includes inactive):
24876
# Next line contains the total number of reported cells (selected_in_node + parents + children). 11 + 0 + 0 = 11.
11
# Next line contains the soma ids reported:
0 1 2 3 4 5 6 7 8 9 10 
# Next line contains the number of cycles:
1000
#Cycle [SomaId(0)_V SomaId(0)_F]...[SomaId(N)_V SomaId(N)_F] 
# Where F is bit flags: 0 = FIRED_STATE_NOTHING; 1 = FIRED_STATE_REGULAR; 2 = FIRED_STATE_FORCED; 4 = FIRED_STATE_BINARY; 8 = FIRED_STATE_SUPPRESSED.
#Cycle 0_V 0_F 1_V 1_F 2_V 2_F 3_V 3_F 4_V 4_F 5_V 5_F 6_V 6_F 7_V 7_F 8_V 8_F 9_V 9_F 10_V 10_F 
71 -68.350479 0 -73.225792 0 -72.619820 0 -73.409966 0 -73.816666 0 -73.002319 0 -74.090897 0 -73.006790 0 -74.045052 0 -73.008606 0 -73.920067 0 
72 -71.048874 0 -73.092178 0 -73.635117 0 -73.265068 0 -73.824272 0 -72.863266 0 -74.076790 0 -72.866829 0 -74.034584 0 -72.869186 0 -74.083801 0 
73 -72.865517 0 -72.947296 0 -74.108788 0 -73.110405 0 -73.737152 0 -72.720139 0 -73.971367 0 -72.723114 0 -73.932198 0 -72.725731 0 -74.070259 0 
74 -73.882034 0 -72.799217 0 -74.257401 0 -72.953629 0 -73.602592 0 -72.577621 0 -73.821655 0 -72.580215 0 -73.784996 0 -72.582916 0 -73.965309 0 
75 -74.340065 0 -72.652351 0 -74.230072 0 -72.798859 0 -73.446167 0 -72.438286 0 -73.652481 0 -72.440613 0 -73.617928 0 -72.443314 0 -73.815979 0 
76 -74.469757 0 -72.509079 0 -74.113670 0 -72.648262 0 -73.281517 0 -72.303497 0 -73.476761 0 -72.305626 0 -73.444046 0 -72.308273 0 -73.647133 0 
77 -74.425568 0 -72.370659 0 -73.954941 0 -72.502975 0 -73.115845 0 -72.173958 0 -73.301216 0 -72.175926 0 -73.270134 0 -72.178490 0 -73.471703 0 
78 -74.295334 0 -72.237724 0 -73.778191 0 -72.363525 0 -72.952957 0 -72.049980 0 -73.129280 0 -72.051819 0 -73.099701 0 -72.054283 0 -73.296402 0 
79 -74.125298 0 -72.110527 0 -73.595894 0 -72.230133 0 -72.794830 0 -71.931664 0 -72.962715 0 -71.933388 0 -72.934532 0 -71.935753 0 -73.124702 0 
80 -73.939056 0 -71.989159 0 -73.414452 0 -72.102829 0 -72.642441 0 -71.818977 0 -72.802361 0 -71.820602 0 -72.775505 0 -71.822861 0 -72.958351 0 
81 -73.748512 0 -71.873550 0 -73.237099 0 -71.981529 0 -72.496254 0 -71.711823 0 -72.648590 0 -71.713356 0 -72.623001 0 -71.715500 0 -72.798203 0 
82 -73.559662 0 -71.763596 0 -73.065468 0 -71.866119 0 -72.356422 0 -71.610046 0 -72.501503 0 -71.611496 0 -72.477119 0 -71.613541 0 -72.644630 0 
83 -73.375488 0 -71.659142 0 -72.900322 0 -71.756432 0 -72.222946 0 -71.513489 0 -72.361061 0 -71.514862 0 -72.337837 0 -71.516800 0 -72.497726 0 
84 -73.197456 0 -71.560020 0 -72.741974 0 -71.652267 0 -72.095734 0 -71.421967 0 -72.227142 0 -71.423264 0 -72.205040 0 -71.425095 0 -72.357460 0 
85 -73.026237 0 -71.466034 0 -72.590500 0 -71.553452 0 -71.974632 0 -71.335289 0 -72.099586 0 -71.336517 0 -72.078568 0 -71.338249 0 -72.223717 0 
